month,Entertainment,Food & Drink,Health & Fitness,Rent,Salary,Shopping,Travel,Utilities,total_expense,rolling_3m_expense,expense_mom_change,spending_volatility
2022-06,2948.48,6618.52,2460.98,6829.400000000001,1993.13,2907.64,1799.63,0.0,25557.780000000002,26115.61333333334,-0.18460505263359395,0.19042403600291705
2022-07,4433.07,795.17,773.85,3681.67,726.24,4572.31,2542.88,1665.63,19190.820000000003,25364.21666666667,-0.24912022875226247,0.2396654621236996
2022-08,3931.39,1906.48,3391.6499999999996,2771.03,3127.52,7076.74,0.0,2041.19,24246.0,22998.2,0.26341657104803207,0.14618053294063202
2022-09,1951.67,1412.42,854.1300000000001,4013.62,1531.54,2136.89,1838.18,5163.41,18901.86,20779.56,-0.22041326404355355,0.1446373176939742
2022-10,1030.1000000000001,1732.39,3881.4,2358.37,5958.2300000000005,340.3,457.44,654.07,16412.300000000003,19853.38666666667,-0.13170978940696831,0.20160766507053676
2022-11,994.48,1840.5600000000002,2616.55,3826.96,1621.1200000000001,3265.85,3091.22,2294.0,19550.74,18288.300000000003,0.19122487402740607,0.09059025586736541
2022-12,864.17,0.0,0.0,5530.4,28.48,0.0,195.75,4897.5,11516.3,15826.446666666669,-0.4109532426905581,0.2558459685920488
2023-01,5827.03,9083.72,323.05,4416.58,1909.36,3244.1,2321.25,1589.6599999999999,28714.749999999996,19927.263333333332,1.493400658197511,0.43184079097832206
2023-02,1777.23,8451.4,2659.59,1015.8,0.0,456.79,2143.09,366.13,16870.030000000002,19033.693333333333,-0.4124960168554487,0.46239099806743555
2023-03,280.86,437.89,3639.14,2794.59,3015.71,4261.2,932.06,1359.33,16720.78,20768.52,-0.00884705006452291,0.3313689012039254
2023-04,2940.23,3509.37,6155.64,0.0,1088.83,1264.23,1198.6399999999999,569.71,16726.65,16772.486666666668,0.00035106017781472154,0.005039561382026564
2023-05,3006.01,1042.49,3556.08,1927.23,0.0,4082.25,263.42,4144.39,18021.87,17156.433333333334,0.07743451318703976,0.04368599643289267
2023-06,824.47,3214.62,0.0,971.8499999999999,5507.92,5004.86,1683.07,2863.98,20070.77,18273.096666666668,0.11368964485927391,0.09227530778994862
2023-07,1675.58,2613.33,7045.78,4086.07,1258.9399999999998,2410.15,2516.59,4516.52,26122.96,21405.2,0.30154249189243854,0.1967829249396118
2023-08,1100.7,2684.06,1618.4699999999998,968.66,363.39,2447.6000000000004,8189.71,0.0,17372.59,21188.77333333333,-0.33496854874026527,0.21148166082252598
2023-09,2493.28,2484.4700000000003,528.51,2348.37,2109.01,2254.79,5806.99,7824.360000000001,25849.78,23115.11,0.4879635103343829,0.21522906864316652
2023-10,45.65,2557.76,4907.42,1099.09,1458.39,1682.29,1249.37,1541.24,14541.209999999997,19254.526666666665,-0.43747258197168415,0.30561584016966803
2023-11,2117.24,1992.57,2831.7799999999997,5718.0199999999995,3883.14,886.97,2208.67,3194.13,22832.52,21074.50333333333,0.5701939522226833,0.27785579888273826
2023-12,2137.25,3536.0,4354.53,2376.72,6162.6900000000005,305.82,1781.32,0.0,20654.329999999998,19342.686666666665,-0.09539858062097406,0.22222664536240594
2024-01,5456.07,1774.01,3863.41,1647.6699999999998,3019.2799999999997,1351.74,6513.55,6290.4,29916.129999999997,24467.66,0.44841929028925165,0.19791722270668186
2024-02,7197.09,1787.8899999999999,5037.45,1865.2799999999997,3654.9700000000003,0.0,3337.44,927.1800000000001,23807.3,24792.586666666666,-0.20419853771192997,0.18993001061509354
2024-03,4201.53,4584.88,1033.48,419.1,2130.4,1296.66,1217.07,1553.31,16436.43,23386.619999999995,-0.3096054571496978,0.2886132918383092
2024-04,2278.76,0.0,1983.15,1564.52,1903.56,0.0,7108.02,605.16,15443.17,18562.3,-0.060430397598505325,0.24616410465235114
2024-05,3646.11,3057.06,872.75,3667.62,1311.28,0.0,276.42,2991.3199999999997,15822.560000000001,15900.720000000001,0.024566847350641074,0.031521943898396285
2024-06,1037.58,4549.58,2422.16,2363.77,3896.2799999999997,1257.39,3566.44,3460.87,22554.069999999996,17939.93333333333,0.42543747661566744,0.22299188820234506
2024-07,2719.79,6890.58,3977.95,1585.72,4314.35,5349.71,0.0,2877.98,27716.079999999998,22030.903333333332,0.22887266023382935,0.27071039919605994
2024-08,5093.52,4312.83,1187.6,1839.16,3792.1499999999996,4232.91,2475.52,0.0,22933.69,24401.28,-0.17254929268496844,0.11790239113699921
2024-09,2674.54,3049.01,2724.02,1771.1799999999998,1879.91,2755.08,3492.63,1037.5700000000002,19383.94,23344.569999999996,-0.1547832032263452,0.1791096848455078
2024-10,1157.94,1241.6,4453.31,1072.64,4178.35,2232.86,4452.56,4194.95,22984.210000000003,21767.28,0.18573468551801153,0.0948298339635357
2024-11,1611.37,1441.13,1215.55,2946.1899999999996,5653.77,1847.25,7874.49,976.21,23565.96,21978.036666666667,0.02531085471286576,0.10307135540947049
2024-12,727.25,406.37,1428.01,4601.56,784.35,2830.56,0.0,160.82,10938.92,19163.03,-0.5358169155850218,0.37197799052068514
